right_hand_wrist_x,right_hand_wrist_y,right_hand_wrist_z,right_hand_thumb_cmc_x,right_hand_thumb_cmc_y,right_hand_thumb_cmc_z,right_hand_thumb_mcp_x,right_hand_thumb_mcp_y,right_hand_thumb_mcp_z,right_hand_thumb_ip_x,right_hand_thumb_ip_y,right_hand_thumb_ip_z,right_hand_thumb_tip_x,right_hand_thumb_tip_y,right_hand_thumb_tip_z,right_hand_index_finger_mcp_x,right_hand_index_finger_mcp_y,right_hand_index_finger_mcp_z,right_hand_index_finger_pip_x,right_hand_index_finger_pip_y,right_hand_index_finger_pip_z,right_hand_index_finger_dip_x,right_hand_index_finger_dip_y,right_hand_index_finger_dip_z,right_hand_index_finger_tip_x,right_hand_index_finger_tip_y,right_hand_index_finger_tip_z,right_hand_middle_finger_mcp_x,right_hand_middle_finger_mcp_y,right_hand_middle_finger_mcp_z,right_hand_middle_finger_pip_x,right_hand_middle_finger_pip_y,right_hand_middle_finger_pip_z,right_hand_middle_finger_dip_x,right_hand_middle_finger_dip_y,right_hand_middle_finger_dip_z,right_hand_middle_finger_tip_x,right_hand_middle_finger_tip_y,right_hand_middle_finger_tip_z,right_hand_ring_finger_mcp_x,right_hand_ring_finger_mcp_y,right_hand_ring_finger_mcp_z,right_hand_ring_finger_pip_x,right_hand_ring_finger_pip_y,right_hand_ring_finger_pip_z,right_hand_ring_finger_dip_x,right_hand_ring_finger_dip_y,right_hand_ring_finger_dip_z,right_hand_ring_finger_tip_x,right_hand_ring_finger_tip_y,right_hand_ring_finger_tip_z,right_hand_pinky_mcp_x,right_hand_pinky_mcp_y,right_hand_pinky_mcp_z,right_hand_pinky_pip_x,right_hand_pinky_pip_y,right_hand_pinky_pip_z,right_hand_pinky_dip_x,right_hand_pinky_dip_y,right_hand_pinky_dip_z,right_hand_pinky_tip_x,right_hand_pinky_tip_y,right_hand_pinky_tip_z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-351.7158450118219,7.077830426100383,1213.5153999727358,-327.2865967663527,7.984920283023961,1083.0698649689753,-311.94907012086986,7.291362656320238,998.6352179769531,-298.501305117732,3.8618963590366024,931.4865954681317,-333.6816341470866,-9.086774269737148,1046.3525202660467,-307.02271891863205,-5.210429150565825,953.2288166974,-291.5495495414794,0.175413003706354,903.8868471969618,-280.8698533323201,4.2235601724598375,867.126833590764,-346.8673991228664,-14.284185920062997,1109.2708491564053,-311.1180519209464,-5.0365366717560285,1020.9416022820883,-292.13158681959766,5.447126039524935,997.0967005072982,-280.6035036018898,12.636496042112313,978.4739605867874,-361.04351972930357,-14.725832959590967,1198.7147087495418,-323.1726421677755,-2.664624074494372,1117.9795181125194,-302.01195252159135,8.031887556494524,1096.1342499987657,-288.25638628714444,15.305129946325545,1072.1027486780808,-375.12172316463455,-11.46108547171858,1311.1057577559536,-339.53167077681917,2.8828884366005605,1246.0606240040004,-319.84385596997436,11.495828813429505,1215.7521723847499,-306.97936599824243,16.9453097797491,1186.3562649205367
,,,-307.35345184658166,13.166933494078672,1078.1546306110877,-283.272761731006,-0.042911557942227944,1090.91200808021,-263.1952062553197,-2.5470637590872216,1105.944867338701,-248.4101273472213,-2.382027888193402,1093.7213771105403,-306.24090877795345,-22.14326571406602,1058.8744117201034,-277.6555069992023,-22.106820574953314,1051.2973154584006,-258.15320616291854,-14.992255422041087,1055.5990291347202,-242.12708620739224,-7.547031241443214,1057.672080891322,-320.38308195842706,-9.886037859695259,1065.506161373559,-283.9896507861606,-2.864267405172604,1062.8575799913867,-262.5438339516659,7.624622627643886,1066.350068097361,-247.2047792556434,16.60322305619814,1068.5975012722874,-331.13415669354873,5.982481076437715,1082.273163377343,-296.0386342498519,17.971430879035832,1098.9354056640673,-275.5975174588616,24.76889255915977,1077.3937335821922,-262.3971731372265,28.47167771960746,1046.9517771727394,-338.16418670640405,23.78830692619502,1101.644765033448,-310.4504577721752,35.68371952870775,1123.4295768338084,-293.5800229410715,39.09384422372031,1100.8366445285237,-282.5445412096711,39.83622726107377,1065.6123162905128
,,,-295.8045278477822,25.9368350388288,1098.433523924591,-276.9050595911141,9.33508813994787,1093.2907286270965,-263.3762466219377,-0.8607748124123064,1091.0996821081576,-248.38171973356577,-7.431669206018883,1086.8058550522494,-291.39725217396483,-20.920759525347826,1082.8308165289911,-265.96561266225393,-24.07213317530799,1064.472207526092,-246.63424204723634,-21.4976485474319,1057.6886019623362,-230.4436522355794,-16.68776957084658,1050.8538263134428,-306.2636944817914,-14.000382504635681,1088.1532738790454,-269.23570272496204,-7.605976944225617,1064.3238347983931,-246.60993092939836,3.0455335803185544,1055.524796931758,-230.5701665062771,11.973722325343674,1047.5479374487315,-318.1280072676497,0.595510970430411,1095.6319612196517,-281.6148325950763,10.821033286391257,1071.6492634741614,-259.6275411208109,19.56819987198037,1055.4673910787046,-244.03598942015265,25.703214891994545,1042.2684235192016,-326.32387988761326,19.146301748695457,1100.404563363124,-295.21470063217106,28.05619869574507,1079.8284784989971,-277.49305422702275,33.90274854956528,1067.1659635638139,-264.86512430956816,38.02264196413634,1053.9288216929122
,,,-284.133555438432,10.569602907335133,1157.2032768785145,-263.23322272258156,-8.811601801219524,1179.2431286704425,-248.05403693965485,-17.883907255530207,1187.0285158613692,-234.31458397955606,-22.084761050014325,1147.6274778306858,-284.4190965152174,-34.785556600747434,1159.363692444977,-252.51797214300584,-35.279463631308325,1206.8770354339215,-237.06854211401554,-30.245641951312507,1126.946047287504,-227.9127398718254,-27.707078089129656,1040.2297136950112,-299.37036645713033,-23.172330706172087,1157.108963719956,-252.76427590791383,-13.19628620432225,1195.3507984350438,-235.59167779492287,-4.097404670318176,1094.851247392736,-228.22157743549081,-0.3801782358433974,1003.834062096909,-308.98440995508207,-5.746059438161765,1154.5483085652393,-266.536259000679,8.271519969056257,1187.2227964500623,-247.66701702131576,11.678213514312377,1086.324899905163,-238.31589025684218,11.639946825637821,998.2832193076382,-314.4363088720549,14.427472272666646,1153.0702042074158,-280.09815105462485,26.57289554573797,1171.2666299509915,-263.9903984659084,26.40929613336704,1098.288848456578,-255.28065078264592,24.346154830696864,1023.8773090706857
,,,-273.99308486075427,1.8930593649673708,1166.404238796929,-248.4937109595786,-16.87605739445017,1133.0563273646706,-227.38297258971772,-23.637559579819836,1111.7398530380456,-211.38840674957905,-28.03508330253018,1111.422310037885,-280.0135598302148,-43.337747241439594,1138.9781994814084,-254.86133260506722,-48.334043683898685,1101.8245059512897,-235.76762626333033,-46.145482943345414,1090.4810816488457,-219.39835602730452,-42.51540343001754,1086.7379369569876,-292.7558707366391,-30.656460518862843,1134.566578271036,-256.3643810568978,-26.46191775357314,1105.8666454207498,-232.12074416653533,-18.762247135564618,1086.8344159946387,-214.32173382244898,-11.589146590271808,1074.4675181307052,-299.9974435867898,-13.111248293765403,1132.1875027981687,-263.5502785227209,-5.501109068595401,1113.0425289365496,-238.9687971678567,2.0889958674403237,1096.1861430158533,-221.29000164629485,8.402629740077584,1083.5348013326088,-302.90182040181725,6.72425283542389,1130.644206781019,-272.882812534457,12.656620197626053,1115.1689261715655,-254.0541428329428,16.449479806240056,1106.6040642242788,-240.29150675553234,19.81074833546894,1099.9417818574666
,,,-269.731947089234,-3.0005554795087073,1164.2063383833072,-249.25943951856456,-22.58531024788404,1187.4967276246246,-230.81487724513482,-30.375275143907473,1204.374147000073,-215.43490111457936,-33.13451010197411,1192.29731653852,-281.7174686704975,-51.16679794794247,1186.0629691033446,-255.3668916953415,-59.323605832486784,1152.4360314972794,-233.632107402079,-56.89656165715799,1144.0775510121114,-215.6532114518342,-53.15519677068799,1134.362028041903,-294.50842001285974,-37.058669125102035,1186.094055185345,-254.61125677035884,-36.54524381599472,1123.3038321265603,-227.89115327879935,-30.25624106351109,1118.58983501235,-208.7976296419907,-23.700946316999232,1116.884769924603,-300.87924278216764,-17.801086912418693,1185.4635104794847,-259.8845460513939,-13.903236882710127,1133.6035172198933,-234.30625896319705,-7.615719021293074,1134.0915728589973,-216.55437697159243,-1.5214810423934422,1129.3062294580388,-301.89493602640306,2.797466642714438,1181.847274108553,-268.56511386916435,6.271905380272298,1160.937226908065,-247.91576681340206,9.574915510038341,1158.6290090153313,-233.2143892369842,13.238699334241396,1148.3773047107843
,,,-273.65178000267673,-9.695642624713992,1235.2385346272376,-248.46500487054445,-30.857854149425844,1198.3186210725407,-227.33072584279108,-39.68073574679977,1168.0180797312614,-212.17280707866806,-45.49185730797131,1145.0726921856017,-283.50724094311715,-56.523813966092696,1178.7134330266042,-255.18031802408282,-64.14031477474272,1141.174874167388,-234.65454889425286,-63.0596534315191,1134.8485103570015,-216.83385969101278,-60.11551567090468,1134.974757416454,-294.33915300932364,-41.845687572787,1171.0415095045307,-252.60982973512475,-42.24364993874122,1139.6988459761906,-226.1715527809623,-36.05450942471892,1130.647931330101,-206.59939370443416,-29.257319044497034,1126.658174535936,-298.9682108575545,-22.653711411455394,1165.5905990000795,-256.9938386627944,-19.895332101932848,1147.8154600247567,-230.64949659364117,-13.97423709660204,1140.9025953110056,-211.40064291341517,-8.324234454604532,1138.565465185192,-299.38667259831976,-1.8386950723532698,1164.1751552119545,-265.3917423415458,0.3449761822117849,1148.1873391166603,-244.88745692061914,2.1371195211708534,1146.7822539896204,-229.67093525624648,4.531730969195251,1149.0801277324529
