nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-137.55550402059157,-283.88559462976735,1082.6431853167344,-117.67511321557863,-330.3136213310263,1119.0386105827465,-100.73352962345894,-331.503057632579,1128.9317967953793,-87.25692429814995,-329.96573038155753,1132.0939463868524,-156.29611032659173,-336.49587640599543,1138.6415631099476,-167.80401977153548,-337.8449313052041,1144.644662537112,-180.69264019050937,-336.2006971348417,1141.1946847971042,-66.68470746361092,-328.95209849829615,1206.9285960957625,-198.01864236488905,-319.8684320507255,1149.9660273062339,-111.94153948349641,-248.96316269878966,1100.4864840941673,-161.05947176675303,-255.17479828362886,1124.349618459257,49.22492979336841,-124.18281173103232,1402.2426676225027,-361.9314909948057,-86.844759547608,1401.3376446862903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-119.85707828888798,-266.21152715937365,1015.199000370212,-102.3009933436432,-305.7430155392551,1046.3783159387754,-86.68931946714862,-310.5244098474168,1066.9438040559785,-74.11081409368094,-312.3524673875672,1079.0548836801838,-137.717614482883,-308.6899846623265,1052.344228148047,-149.76618360772108,-310.023454206449,1059.0839591219697,-163.7570304491401,-312.4253105985528,1071.0912902314087,-52.481050173657465,-314.66363272134925,1157.939927654598,-184.23144181963352,-303.1570536034724,1104.439871430539,-97.42433085925538,-239.47713896527668,1046.6268230515493,-142.54353035547211,-240.4971907948847,1051.9826755447762,50.346582141167744,-104.97477319738465,1198.6173764780292,-290.2552235716057,-87.58931128160742,1175.6407672666971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-106.03027539511604,-269.6871691448192,1045.9064483393274,-88.68626740581013,-306.2191577946628,1066.7087483115902,-73.40882458563885,-312.40452278967234,1090.9800803730213,-60.53611001635119,-312.8863727064946,1097.8716106543218,-125.56400045328328,-306.8484311119489,1064.5195902148555,-137.79974274658855,-308.71579616240433,1073.080265301713,-152.00451606163085,-312.52875757344316,1090.906659441116,-38.48584551453937,-319.2672238818894,1187.2516406624486,-173.45106113743935,-299.6324375326408,1116.2173912753258,-83.31027327494314,-244.43260702657062,1083.5157099800929,-129.1924884175097,-241.54092379847228,1073.3102418210206,59.628980740263344,-99.9938079823947,1176.9272254412028,-274.3794344618701,-89.21350096730033,1202.9126645950073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-94.59072074100433,-276.3304242834387,1098.8169125845218,-75.77637798258885,-313.7143451198402,1117.3434180983554,-60.2229312692497,-317.7304088512171,1134.422432775786,-46.682081255219614,-318.6488836962607,1143.3470309795252,-115.39792856901933,-311.79613191539914,1109.2249532668066,-127.6769472249056,-313.0350568133541,1116.7630262078524,-140.30878994803027,-315.0781993398057,1129.359888698636,-25.682254775802125,-324.54358859839783,1229.956804760935,-161.4053949207811,-300.71126947875064,1154.9715774485435,-68.84794083280148,-249.29054990636703,1132.646403778403,-117.9668902227843,-244.13928994057792,1115.5040721496803,71.71787229084399,-99.30140067847182,1221.5339370496988,-268.9971638228868,-89.17217613648731,1271.8108319033197,104.63907532068075,137.67585884801468,1038.9395893789401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83.04506103435406,-277.55326499259183,1133.5778156959054,-63.05441259375789,-317.85292781109166,1160.0506842953896,-46.718408608242626,-317.40366709962666,1162.6120238860985,-32.469038588254094,-318.5724433168471,1173.1020335861892,-104.47946963462421,-315.3299698330305,1151.2653169745536,-116.545778823663,-314.5276466139858,1151.904879576486,-127.64135096512541,-315.78447095322,1161.3104196991205,-13.358578684394297,-321.3368515173374,1245.8736449047933,-147.702912881103,-302.0525435356336,1189.8789651467073,-54.47891278977779,-249.77733309929675,1163.045853448698,-106.87240787774317,-243.64747259375082,1145.1214699627258,82.86409824883789,-96.67774865328445,1255.6948798266828,-253.20643201028173,-86.4798907687748,1270.2619626826,122.58559150059418,149.2875844083273,1092.032870683918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.64820595575033,-280.7087067689487,1172.5727983272313,-54.962113907535155,-320.6021226211616,1194.2216774635242,-37.50427807339648,-321.1743079098642,1202.5032875506176,-23.3298168079057,-322.9687778581561,1214.916410417806,-96.55126201064817,-317.2556668632767,1182.4919291946317,-108.27300065439383,-316.9468381041678,1185.5615916325607,-118.87466929142823,-317.3526240686825,1191.9250797208986,-4.124983824535699,-324.33109738405045,1285.1953359932536,-138.78961939067236,-306.19879630220146,1229.9242493264271,-45.4006710127547,-252.85112426065172,1202.3665863820906,-99.33911989583538,-245.8554290367572,1182.6235665062054,94.1441096955175,-96.13616559678155,1295.646255224156,-244.7849391488078,-86.25106778073004,1294.6929460399706,139.04729803283067,157.47204469091662,1148.7486186617957,,,,,,,,,,,,,,,,-59.854117030707165,214.29279793717254,870.9208509170277,,,,,,,,,,5.837944538346938,416.2637518953609,1307.4071524731598,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.04302615654487,-283.7885200514311,1203.367886655636,-49.313229660536756,-321.8094743252521,1216.1519813877512,-31.155203732597595,-326.60022395518945,1240.5984098547892,-16.891188786700187,-327.13032303431544,1247.9748475820893,-90.71942551357819,-319.25238253926784,1207.4485893597002,-102.13217933865646,-320.8815445348704,1218.8539248036243,-113.82448286315437,-322.0224176680091,1228.9280425672519,2.949287850679048,-327.030463234611,1317.6772345891181,-133.207421692103,-309.4491510201118,1262.8366980488815,-39.67995004175082,-256.9270197038965,1238.4886237730925,-93.1134890029246,-248.87320687062854,1213.591635702516,102.30246899124401,-96.37014067716318,1319.1712369029206,-239.88298095496964,-85.40804861311192,1303.0374969165919,153.75256153354232,161.9617615392931,1207.3805810320891,,,,24.89250668731016,208.45582748328312,968.1449532805154,,,,-1.8072752086809292,254.06724350412168,932.2116299535055,,,,-31.564113201820312,220.63190288110445,913.7826345589335,,,,-28.87515694328967,209.7125744708374,934.0532508967386,,,,14.170910977303304,397.2858311137669,1306.1746107519407,-203.2797852918835,389.7995109546497,1316.9771204992119,,,,,,,,,,,,,,,,,,,,,,,,
-65.92705348627254,-289.1550133630518,1236.835076095077,-45.22732090005388,-323.46528594036477,1238.9210431852534,-26.86531764507977,-330.6648074647189,1271.8464625814008,-12.648797935123065,-331.69631564788585,1280.5265888873262,-86.02577695587767,-321.92987558906674,1236.5786218028152,-97.22258819122871,-324.9047336402597,1255.8821494686595,-109.07529274293904,-325.21792238320614,1265.6161118229154,7.7690415184959125,-328.2370896119894,1345.481129540048,-127.99630567680744,-311.4781092019058,1300.3540745914593,-35.20345264863828,-261.04599275805526,1270.0449339361012,-87.320603327653,-252.85109871943826,1245.8408149815336,108.80290233943676,-97.3952592353888,1337.6010758324555,-235.40801982951518,-85.32543663175662,1315.1402198620465,161.32816905444798,161.84017494817226,1234.0605558446134,,,,45.84429163707108,208.56316859722844,1007.8497327664041,,,,20.809368625274924,258.0407437735382,983.6932720394486,-294.27943129144967,33.64377425944333,1213.4068849793466,-9.859699357254662,221.2829062098519,954.4884927104155,-277.72372340699644,-8.254018777234961,1208.1911702337325,-6.406887479498506,209.96024047965486,975.6590393956775,-275.33446948271836,4.2708297237825255,1217.654011500647,23.089907248149615,383.4476362124773,1292.7147466349065,-191.78479726124618,372.1156328033909,1281.8540762059322,,,,,,,,,,,,,,,,,,,,,,,,
-61.31392390691394,-290.49127606012036,1259.1265132322085,-41.50143950887485,-320.40842848765567,1256.1002068922035,-23.424754873211974,-326.31923803148567,1283.598900442752,-8.897805697456075,-326.98778882635486,1291.5376639135543,-81.03173587082394,-321.46039488880444,1264.1868875532973,-91.63644044780176,-324.4557948777194,1284.999183768373,-103.37072102535012,-324.45943843124246,1294.7085527114043,12.334544239356005,-323.6503796681884,1357.9506698396926,-122.34916637633984,-311.5021641269557,1334.6810353239011,-30.890294798776466,-261.0753975281049,1288.0381915526382,-81.35496207889487,-254.52897564342067,1272.4711138020118,115.03735793024626,-95.87180000303275,1351.6851226059896,-230.74498222752197,-83.61241665868945,1322.6524043392437,167.16573696735537,164.3236184780526,1251.9246092475707,,,,66.0201665297816,217.88211250424604,1079.5112788750148,-313.1979988440221,56.952808301084225,1284.5581506383696,35.681224000132026,264.06182620134916,1042.5492204534526,-287.8130034699975,24.074106951259715,1209.6254259882053,6.348286103279281,227.96695602957774,1016.7605011125023,-271.5632934648644,-19.10397593551113,1212.2718340148672,11.633672749770842,216.83184213910383,1040.7058432565527,-267.56465001561435,-6.222736133174131,1232.222640640737,31.32876911647271,388.75884215842336,1300.3780557685727,-178.7134599295617,358.80571384941834,1223.2934598473464,,,,,,,,,,,,,,,,,,,,,,,,
-57.13102295065559,-287.8801855486206,1272.036969157662,-37.87190629316588,-314.84723976984856,1273.6042397292176,-20.01395794095587,-320.0342886637284,1299.3084713197961,-5.059008899649294,-320.10041835480337,1305.73236345246,-76.78293710980677,-317.275336401149,1284.1501015150789,-87.20400900833727,-319.89475802822267,1303.8702105609868,-99.59070334473213,-319.6165728129836,1312.8044336217094,16.833113132672473,-318.2361084279836,1376.2925601856737,-118.26035813992048,-308.85688350738997,1361.5276261142808,-27.70133789746825,-258.867154474628,1302.229198155499,-76.79797735739567,-254.0570035120006,1292.745557388118,120.68013448866422,-92.62928881639954,1371.4951162648902,-225.49107465048607,-82.96212005440046,1347.408067293305,172.91750198491883,168.0866209150455,1268.8816678145047,,,,83.93631280570014,226.32349631626278,1158.9143621234575,-313.1644114397286,47.17848905252283,1283.9084481421432,50.32554425946865,266.9798363200731,1098.309394998295,-286.4328818047529,12.190130503696501,1211.0418898662408,22.370501850627587,232.53528010483254,1081.6360661637032,-271.61102856678644,-30.359628684420876,1210.8656458587411,28.585416614559033,222.13548305409284,1112.4528395262014,-267.98961402500123,-17.197603435214976,1235.1805958285881,40.02222969632129,401.8589984113145,1330.9890305284794,-171.57062111255374,366.12753583568104,1234.5006290268568,,,,,,,,,,,,,,,,,,,,,,,,
