nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-484.2755830371461,-850.7530288206793,2575.5779166763996,-450.1018797352316,-893.4639599710086,2596.8929648351086,-433.1020930737917,-893.3568336475638,2592.556056826327,-412.61759343377673,-892.5119539524532,2589.2836712587577,-484.3319615223159,-894.6378578261903,2623.2827235982627,-494.1573909198189,-893.5190897454231,2634.281095045675,-504.9979769388868,-893.6456049367758,2652.668047294187,-361.39197804535274,-879.9303211896987,2647.25733861582,-489.125650208985,-880.4700954324003,2733.6199765888914,-454.1621707867715,-804.4808015667797,2579.6418445202867,-496.76538146746583,-804.0165292652723,2605.6116672246953,-200.92986964857246,-621.5504412872596,2575.661800562022,-542.8986016795236,-556.9882082840195,2837.370433741727,-73.60156272638574,-312.3567703220657,2540.4813971196522,,,,-352.92554006837906,-195.7219176588322,2328.2906531043313,-1069.6016141639257,-496.6387834530296,2903.6163321087233,-406.0402552168691,-128.8730588770687,2290.3157115068907,-1157.5778467213995,-542.2986283247343,2903.2596812294723,-439.8532665144274,-160.70065932513322,2299.0115025741115,-1161.5480063727966,-562.6276295956968,2900.129332199456,-430.7484524751005,-178.22145769488904,2320.897989323618,-1127.7704528454726,-549.1424775037308,2892.6758386987367,-221.35851830872065,71.60329308503593,2474.5412062649425,-452.4466051859418,102.73739124395038,2632.550118547428,,,,,,,,,,,,,,,,,,,,,,,,
-471.32469272413493,-850.32812335386,2565.6509500739235,-442.7939074788324,-893.1879927765503,2587.0284505702134,-424.71132708377087,-894.0161562331617,2585.648624121137,-405.4973792368213,-893.3874129563271,2584.514245978278,-475.40143990039826,-893.84579748253,2612.302729373734,-485.26841581360065,-893.1744017183954,2625.9593949735017,-496.3656356660854,-892.6987756675582,2642.984336608901,-348.30128245919747,-882.8060280889312,2645.8436951447643,-480.7159573083354,-879.3240150681239,2724.592014419862,-438.7249980400954,-806.364185884916,2572.428660123311,-481.1596479993668,-805.1850860456547,2600.558382292796,-187.8941301990696,-624.5614937749651,2574.6643209109166,-533.1919201305866,-559.642905611357,2832.878579997453,-60.942751343474114,-314.89814116508825,2540.3176423497166,,,,-332.28632654956533,-192.2463672687979,2321.8874585487915,-1020.3137257377822,-491.34063224622,2875.2296582776557,-390.30611148800705,-123.2357539950222,2276.4083738474887,-1108.5770493821585,-537.8610859473828,2871.1437826591837,-427.54544732425904,-158.9952304939454,2287.7559531409743,-1109.6903302134256,-558.6163758423883,2868.0782308628336,-420.8020302358797,-176.23733932547765,2310.02273790577,-1071.893442068635,-545.3391808447651,2865.119038623975,-219.6038805059018,71.90369319881086,2471.963691945334,-452.60785294992417,105.49896397591655,2631.077874637353,,,,,,,,,,,,,,,,,,,,,,,,
-447.84838655306487,-851.413151714378,2564.9664912302824,-419.286492586842,-894.4266174566253,2581.5060736047603,-400.6262828407763,-894.8873659290778,2578.376766985481,-381.9966467202726,-894.3779257175111,2576.755176021851,-455.2482050683948,-894.7096492205922,2606.950542261056,-465.3627972991021,-894.4731296155795,2623.0108959137974,-475.6069837114656,-893.7230496320132,2638.38397192955,-322.0175663600713,-882.9289928153073,2633.884724171089,-459.8283129605077,-878.3475272519422,2713.0604453929946,-410.92870825763475,-808.6993520462402,2571.0130323491276,-456.5445876396267,-807.2321201473583,2601.8024213765457,-153.8930753428196,-629.3212552889848,2577.9717089299797,-510.03908766788857,-560.3460702419284,2823.86741532605,-33.741265404034976,-311.62889525615657,2547.0499253300304,,,,-301.6765985989525,-179.7139378118972,2306.8191969343143,-946.8800147853975,-474.5805113308474,2839.4298902743644,-356.18678444613465,-112.61862229165435,2259.006640044205,-1034.517651924308,-519.2724946172148,2824.1458939686736,-397.69949572196117,-144.922403414123,2268.3304018379495,-1034.5911008549854,-544.2814078966064,2828.2110728113785,-391.04711369277766,-161.71168928993686,2291.746413586963,-996.0990881713016,-533.0676928179541,2830.6780946578483,-200.46896136879442,75.30415892467497,2470.73155259561,-440.5608679086571,108.39586896271624,2623.988128928774,,,,,,,,,,,,,,,,,,,,,,,,
-426.55337599481476,-847.960434823947,2554.9784753101494,-397.9043336125061,-890.9901011289986,2567.960212658574,-378.6365826697843,-891.265807397007,2563.78869045382,-359.58510053994917,-890.6994062355595,2560.6099383839364,-435.8133485459889,-892.0093362353841,2594.59597685216,-446.200947255956,-892.2013653435286,2610.785345576479,-456.37208328475793,-891.6089533779008,2625.235787634107,-298.9016236329518,-879.5317832091057,2617.2430255955633,-440.55566908768515,-875.2700000651569,2694.2408768524824,-388.9281481836818,-806.4690326111158,2561.195251497745,-435.27482521826227,-805.0666050847003,2592.82185530976,-125.68552614626795,-629.4446072598084,2569.7830759429726,-488.0895869623149,-557.8421775633228,2806.8176969608267,-10.968487228632934,-300.63015454588947,2536.9612014986833,,,,-279.2138489648478,-167.43725074193173,2287.142101491585,-887.449641387704,-442.3584228447197,2781.9559225683975,-328.2036440708781,-101.18026889802537,2237.3021412414364,-971.6030721484244,-486.9693232383263,2758.979601531115,-373.4808378141788,-130.0664525079413,2240.01053113896,-970.3179559095454,-515.5509313293101,2761.5985553164446,-367.6373139956891,-147.08514042777995,2264.863518373294,-932.3006729444785,-504.0901765947981,2766.0009660806495,-183.57495515723818,80.36273998547738,2460.323490951916,-426.73262525649284,111.57178170582782,2608.4099950448062,,,,,,,,,,,,,,,,,,,,,,,,
-407.68071149224835,-841.3638639322886,2533.310726460159,-378.96044317098995,-884.7549699518521,2547.934896942629,-359.8625721963044,-884.8910994874395,2543.6170665836758,-340.69860063524743,-884.02701745402,2539.145742806236,-417.63964406869843,-886.3986797782966,2574.9414071794135,-428.1328867009842,-886.9948652347581,2589.8097389787135,-438.4731182245058,-887.08520644947,2604.5317266494144,-281.14760265280023,-874.6324038921781,2601.2118418880327,-423.13190357497086,-871.1276371277258,2672.768745739617,-371.865092448969,-801.030462417898,2541.020430050816,-417.85000559943376,-799.5886411372067,2570.9404322508635,-106.2067949940908,-625.7663958156975,2552.9690741510085,-469.82371682928317,-553.5217369247764,2783.489813007919,1.286318369226881,-287.45365176863527,2512.571291997266,,,,-268.29006314276774,-151.07797665101253,2262.8400622923,-844.1100122002067,-394.795849238055,2707.7517183590826,-314.558481201986,-83.49018823693253,2208.675803102828,-922.2258972623572,-439.5675183696721,2680.774324617806,-357.5935007630358,-113.49105181532212,2202.541828808371,-921.9944520212305,-469.4701745433737,2673.269866816394,-351.59414320182884,-131.6326521162611,2229.65407420958,-885.7981176940982,-456.384141795813,2675.568972713225,-170.33208481650755,84.98828065285025,2444.414202694671,-414.11497132875337,113.1583951739673,2589.2622901167792,,,,,,,,,,,,,,,,,,,,,,,,
-379.66959796652395,-839.6061835681398,2518.326401859546,-349.887978210627,-883.5606230492538,2533.9531370860964,-330.6672692526701,-882.848353271603,2529.4895767210446,-311.36088535680807,-881.3114916344344,2524.1693127794233,-388.0807668825597,-886.3155815043572,2562.8700271558328,-398.97224435995616,-887.2473749272112,2576.776615542288,-410.4205519126399,-887.7170466105673,2591.277770337687,-253.9526853401246,-873.4499940000002,2586.9840777017725,-396.31198039714286,-871.5986558399495,2658.2098930178586,-344.60247206323334,-799.2858122040449,2526.9723370788442,-389.3904488514181,-798.4762721999684,2556.9150457214,-76.79495764037453,-623.902656310584,2543.226873062099,-441.50331752226737,-553.5524480355004,2772.249899504273,25.669501927787245,-280.62610845235315,2497.740341675717,,,,-222.3972087430814,-126.73126611271374,2248.8355021507314,-787.6295891028388,-322.68768298428256,2647.439113753869,-260.8524262491669,-51.982145319185655,2187.372973303984,-861.6079859381531,-363.76927322666984,2620.055883578548,-302.8892056011524,-81.36581279883433,2174.7459585309325,-863.8567217525278,-392.081482592025,2603.112839230773,-299.47665434189577,-102.0857317591483,2205.2192891480963,-831.7694517530495,-378.8528709435995,2601.3786924206706,-153.77037482976618,89.74405699271597,2431.7599738929107,-399.50132211487943,113.23866474925303,2575.3310535117575,,,,,,,,,,,,,,,,,,,,,,,,
-347.85740831195005,-841.2811460922294,2509.967531046288,-316.17817474963016,-886.0477078563772,2527.1039878999036,-296.748019218918,-884.5742090611534,2523.139257167615,-277.58389819130645,-882.9238564751442,2518.1920430625137,-355.0769453111792,-888.6394302457671,2554.6767073258147,-366.3823407139429,-889.234743224974,2567.1514276958383,-378.3926619309285,-889.6551923841706,2581.488028422919,-221.10757959584922,-875.674375012745,2576.522708398348,-363.8585778785979,-873.1137375400838,2646.2462719024807,-310.91435979018553,-800.8280606735598,2519.8304045484274,-357.17884463153655,-800.0230156178277,2547.601036844366,-43.463871319036386,-623.6348302650578,2540.708955611545,-408.9550509136185,-556.8894820391763,2768.148812736611,55.0371421692428,-276.6779400187712,2492.9833536553333,,,,-164.45109133230676,-98.53520139424677,2238.6380289021354,-731.1376576590479,-253.34057692158785,2605.1905841498487,-193.8314655546314,-16.315516919610115,2173.5621298475185,-803.7130619107368,-282.29235422872307,2573.7974104283066,-236.9483307026867,-41.089313472667804,2153.079130118447,-810.20045286446,-310.81795222490666,2562.554769564067,-235.87968973331465,-64.75631042938687,2184.7431954667045,-781.8249696166215,-301.6125018861029,2561.9354692538154,-132.12477778520378,93.97748362050538,2425.192778355025,-382.01662241061246,111.67237127418228,2567.113408194795,,,,,,,,,,,,,,,,,,,,,,,,
-321.16769715715486,-841.3070466392901,2500.1113247172575,-288.41243088258886,-886.0418169003062,2517.9398680326376,-268.83525874393865,-884.4234369035141,2515.207230022955,-249.49310788965226,-883.2817119328121,2511.7161724627667,-327.0249140583346,-888.6434809422026,2543.083563909974,-337.5843138038995,-889.0237513514635,2554.5139723822676,-349.2945040514347,-889.3914606339835,2569.5177711794836,-191.81672771916237,-876.4172684988816,2565.1154400902947,-333.3583136366777,-873.0460332750313,2632.5334661065044,-282.386648649648,-801.0533855990707,2511.628351470119,-329.9981431865875,-800.2646014199908,2537.0212355595213,-16.853833570955945,-620.2584180116778,2533.1961532007153,-381.1378320636975,-560.8411223165151,2760.2099331409936,78.44657122596746,-267.4387879814969,2483.931582656387,,,,-108.84132486709126,-74.50393801546662,2228.223550935743,-690.7394986628465,-214.56082457265993,2578.4919921204,-128.22936591835946,14.69410829930669,2162.8701304979063,-763.7200045756638,-220.7599679128117,2544.0377254644245,-171.0344965670355,-4.215507227802199,2136.5699433216405,-769.8815799317701,-247.9774271284113,2532.9087523532257,-172.92839330378663,-30.644914098023342,2165.606308500187,-743.8567470944945,-244.63076927512444,2535.995383462762,-115.11787413751605,99.0043840942955,2415.939096640418,-364.9593303892624,113.0859479567015,2558.3646646968987,,,,,,,,,,,,,,,,,,,,,,,,
-300.39938754572376,-839.9922467954249,2484.263662037627,-266.55988178470557,-883.7235506678271,2502.201291528217,-247.31420872679655,-882.0538853321697,2499.5979012586745,-228.69126306422174,-881.1402247624264,2497.042357260042,-305.48116499322396,-886.1956318758495,2525.503510186949,-314.44768028593023,-886.767931253109,2537.19583586906,-324.91876069094565,-887.1724817390307,2553.0376502070053,-169.30826058465956,-873.5244509229336,2548.0757054525607,-306.3781112801348,-871.3297370127882,2616.3139180206717,-261.16663880452677,-799.5236909530671,2495.0665023189667,-309.4752358171063,-799.1870824913366,2520.4848465704554,2.43575876020852,-613.5559135426674,2520.6524328813557,-356.21606661634013,-564.0988453570708,2744.258141058899,93.75063224344663,-253.6586343357144,2471.7108517608085,,,,-72.7381346434495,-48.28525933801204,2203.312054084631,-663.0808807372871,-184.8859088146228,2547.1731065291337,-84.36483375050413,43.10993977688328,2138.937894507091,-736.827235271792,-164.98993046891684,2502.379922479188,-121.06193971473498,29.04159417053713,2113.046847622855,-744.4351799290331,-188.02974784030164,2491.717463655438,-125.73153255455689,1.5001711573632772,2138.271805506861,-719.9921123463236,-191.90226517360998,2499.7606573003522,-103.07804586746818,105.22514851667586,2405.2569398498017,-347.6976589516921,116.65929079681925,2550.866991034465,,,,,,,,,,,,,,,,,,,,,,,,
-273.60336447352336,-841.4607819664925,2474.5801094996486,-239.02009883038318,-883.7087703954699,2489.301107576944,-219.82076885550237,-881.9112995441074,2485.9445776906214,-201.56161850174954,-880.8936167998127,2483.218050539761,-276.1445904904398,-887.9168497963797,2515.067472410853,-284.4081972182914,-889.0812834106731,2528.3001322279797,-294.1706475962822,-889.5893288605494,2544.5201613392287,-141.50506542864028,-872.0540049457611,2532.633106553932,-273.4590143694564,-874.3045343470015,2608.1890585732226,-235.39802792403043,-799.8361880924823,2482.680785798363,-281.38794164041474,-801.2843851265732,2511.926706125596,29.068754076139918,-606.9579842705133,2508.0454257594088,-327.2051321557775,-567.636094147309,2729.281718519031,123.53644267352038,-243.40609227844664,2464.463189316315,,,,2.6760635035431406,-13.415498268030401,2197.7591593565503,-634.9187127087935,-139.6504949152657,2530.165342772665,2.132241034534948,78.36898541643345,2134.26300253033,-706.2766329870403,-93.48340604726751,2480.559723727746,-38.27076664100881,69.53260766552708,2110.259523448608,-714.2308344400783,-108.29212421664393,2464.2437333177004,-50.0947363694097,42.71182049573399,2132.161833766795,-690.896393196437,-120.29991993629761,2472.113377317394,-84.00182919996524,110.23880650578461,2400.74148204339,-324.6075714403845,119.51969210390365,2548.7031609649935,,,,,,,,,,,,,,,,,,,,,,,,
