left_hand_wrist_x,left_hand_wrist_y,left_hand_wrist_z,left_hand_thumb_cmc_x,left_hand_thumb_cmc_y,left_hand_thumb_cmc_z,left_hand_thumb_mcp_x,left_hand_thumb_mcp_y,left_hand_thumb_mcp_z,left_hand_thumb_ip_x,left_hand_thumb_ip_y,left_hand_thumb_ip_z,left_hand_thumb_tip_x,left_hand_thumb_tip_y,left_hand_thumb_tip_z,left_hand_index_finger_mcp_x,left_hand_index_finger_mcp_y,left_hand_index_finger_mcp_z,left_hand_index_finger_pip_x,left_hand_index_finger_pip_y,left_hand_index_finger_pip_z,left_hand_index_finger_dip_x,left_hand_index_finger_dip_y,left_hand_index_finger_dip_z,left_hand_index_finger_tip_x,left_hand_index_finger_tip_y,left_hand_index_finger_tip_z,left_hand_middle_finger_mcp_x,left_hand_middle_finger_mcp_y,left_hand_middle_finger_mcp_z,left_hand_middle_finger_pip_x,left_hand_middle_finger_pip_y,left_hand_middle_finger_pip_z,left_hand_middle_finger_dip_x,left_hand_middle_finger_dip_y,left_hand_middle_finger_dip_z,left_hand_middle_finger_tip_x,left_hand_middle_finger_tip_y,left_hand_middle_finger_tip_z,left_hand_ring_finger_mcp_x,left_hand_ring_finger_mcp_y,left_hand_ring_finger_mcp_z,left_hand_ring_finger_pip_x,left_hand_ring_finger_pip_y,left_hand_ring_finger_pip_z,left_hand_ring_finger_dip_x,left_hand_ring_finger_dip_y,left_hand_ring_finger_dip_z,left_hand_ring_finger_tip_x,left_hand_ring_finger_tip_y,left_hand_ring_finger_tip_z,left_hand_pinky_mcp_x,left_hand_pinky_mcp_y,left_hand_pinky_mcp_z,left_hand_pinky_pip_x,left_hand_pinky_pip_y,left_hand_pinky_pip_z,left_hand_pinky_dip_x,left_hand_pinky_dip_y,left_hand_pinky_dip_z,left_hand_pinky_tip_x,left_hand_pinky_tip_y,left_hand_pinky_tip_z
-346.28816709089284,-205.1669149065936,2313.489520372707,-397.52604511412505,-207.8463904694005,2326.148930371135,-446.4282710386661,-193.86325570268386,2327.436799510199,-478.3699722409833,-170.0925000820557,2322.472307334796,-496.62171489651104,-149.71254563537423,2322.3253976996193,-453.5654317357266,-178.69727907724973,2284.5573358433194,-500.5876140805302,-148.82259597286662,2271.2911467172703,-518.6514277334394,-133.21710723641675,2270.110440109883,-527.3520134787,-123.07304452474618,2268.190173514214,-434.94358952287445,-160.11532717278763,2268.4444697377503,-481.87346191159827,-121.26452202702629,2259.2054475876034,-501.5925406540624,-103.33318127737354,2263.0443414263545,-511.78649094796344,-93.94434348783008,2265.7567392739247,-412.53281859928427,-143.2365791455148,2262.2445605853068,-454.6048153355671,-105.07944780137953,2252.089211365905,-474.4599258770439,-87.85309225733708,2257.574808372534,-486.8512168937557,-78.59576871109826,2261.261042460043,-387.94499185108504,-128.8375064254032,2262.9011048850107,-416.8654407005178,-95.82601265197295,2253.1743035695663,-433.3767199680826,-80.91572368486004,2254.1494682189855,-445.35556575281794,-71.59587661048299,2255.9091092441986
-328.82162322757955,-205.12165728575334,2320.023386801705,-378.5806595041412,-201.42342331503673,2326.4821447932914,-424.27012590068165,-182.63788898139575,2320.8040218011342,-453.1957087956821,-159.53413874908378,2313.927084578426,-469.07507722483797,-137.84354431983263,2311.1834963981296,-432.91749512931295,-173.39069018160205,2277.188357097463,-477.7499387954327,-137.9805489784365,2257.205168794975,-489.604258670791,-118.95104100328554,2258.65954327448,-493.7520915535993,-108.19779505841346,2259.047472394859,-412.13953138027074,-160.82622212367818,2265.401661854504,-459.04578629777143,-120.09408143399634,2243.7889332387954,-474.3134819237441,-97.39479602990342,2246.279674559204,-480.9309859619488,-84.00001631491536,2249.022735612955,-387.830708673182,-148.47087925398282,2263.219617861456,-430.9769289466794,-110.07147252250309,2238.0137908167067,-448.3465733062601,-85.31840662982904,2234.040454075224,-457.8123001388247,-68.62135081954914,2232.091962152686,-362.4634600199357,-137.74487501069927,2269.9362045605544,-392.04935618278057,-105.69857123202765,2248.004723340993,-406.4362703284562,-86.05828392330672,2238.1860378902443,-415.39750930380563,-71.3037884684957,2232.297611185679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
