nose_x,nose_y,nose_z,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_x,left_eye_y,left_eye_z,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_x,right_eye_y,right_eye_z,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,mouth_left_x,mouth_left_y,mouth_left_z,mouth_right_x,mouth_right_y,mouth_right_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z
-137.82841070083555,-284.33167589363484,1084.1728241191051,-117.99288359198633,-330.60101878406306,1119.8162029839689,-101.01322999412132,-332.0185627891778,1130.507536197964,-87.6149309039005,-330.7205782057255,1134.389303989753,-156.4984371094916,-336.4626403033758,1138.3858440355177,-167.9660096208347,-337.9300672512075,1144.7786103029157,-180.78742155950843,-336.0408627986972,1140.481937777679,-66.81940660646283,-330.34998104539545,1211.8456509852792,-198.3579296494765,-320.22419418779486,1151.3802244137892,-112.21450712192578,-249.26463572071813,1101.7957746674517,-161.30823216173764,-255.48328111214863,1125.8217717823318,49.504762053656506,-124.63526395118856,1406.4206786925977,-363.6438353313438,-87.11313251133166,1410.0642125304446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-118.76545156791201,-264.42720210390405,1009.0804451607298,-101.02991183801237,-304.5934257271095,1043.2679463338882,-85.57051798449918,-308.46238922102236,1060.6408464456435,-72.67878767067889,-309.33307609089616,1069.8734532685842,-136.90830735128367,-308.82292907280583,1053.3671044457699,-149.11822421052463,-309.6829104224365,1058.5481680587588,-163.37790497314396,-313.06464794313086,1073.9422783091143,-51.94225360224984,-309.072102532953,1138.2717080965324,-182.87429268128417,-301.7340050551952,1098.7830830003168,-96.33246030553813,-238.27124687756293,1041.3896607584147,-141.54848877553385,-239.26325948080552,1046.0940622524774,49.22725310001557,-103.16496431675976,1181.9053321976514,-283.4058462254545,-86.51581942671294,1140.7344958900846,72.14291015661041,120.18889902488172,961.7192401760476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-107.6677154765799,-272.3636567280234,1055.0842811535501,-90.59288966425632,-307.9435425128813,1071.3743027189203,-75.08702680961298,-315.497553729264,1100.4345167885235,-62.684149650854266,-317.415459651501,1111.643756271721,-126.7779611506822,-306.6490144962298,1062.9852757682713,-138.77168184238317,-309.226611838423,1073.883951896529,-152.57320427562493,-311.5697515565758,1086.6301773245577,-39.29404037165081,-327.6545191644837,1216.7539699995468,-175.4867848449632,-301.76701035505636,1124.7025739206586,-84.94807910551897,-246.24144515814095,1091.371453419794,-130.68505078741705,-243.39182076959077,1082.143161759468,61.3079743019916,-102.70852130333189,1201.995291861769,-284.6535004810969,-90.82373874964199,1255.2720716599263,86.36562085117457,126.55661375166538,991.1749987926157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-93.44436986505058,-276.76054507709705,1101.2282874103728,-74.66952605967214,-314.39988816309847,1120.1039419662159,-59.22900960929872,-318.12404179033564,1135.846848612662,-45.27054571119881,-316.4875392504619,1136.4222437714045,-115.07029793854208,-314.3413809829662,1117.2780390773014,-127.46741327351094,-315.476001376075,1123.8703352937225,-140.86862628385754,-319.28165670971725,1142.321504922463,-24.884797861448167,-321.0860731787366,1216.640326394049,-160.90407017771216,-300.22848051344266,1150.2201474009642,-68.04383912364943,-250.3298208192009,1138.0788493471175,-117.27361403168119,-244.98511244303415,1118.5610056699031,70.99186566781819,-98.43452348859375,1214.4528495492148,-267.6791277156841,-88.50465981857326,1260.5752006852374,106.78515446496067,139.45669150083694,1050.079128576043,,,,,,,,,,,,,,,,-104.92859689608439,191.43841718350455,785.7350946052521,,,,,,,,,,-4.466562017722591,414.95076489818723,1251.7728194142196,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.10804978861457,-277.4630609329468,1133.6311354099423,-63.49145636175317,-317.8288034120321,1159.857001988448,-47.241745469757625,-317.42719984257513,1163.137901484985,-33.13796712102101,-320.9084729424436,1181.6059787428737,-104.91109194870639,-313.9739857589461,1148.3827402369961,-117.08573871194683,-313.3054251325207,1150.9680353340298,-127.39417364468001,-312.73744294312377,1154.899839841445,-14.153497018058074,-322.20738511139723,1251.4725092459178,-147.58492263784268,-301.9270355512691,1195.411051196274,-54.70995065176256,-248.79407565248027,1159.4998853657653,-107.28310199154033,-242.75307996204938,1142.990261965609,83.11212542589226,-97.18321486116879,1259.5010720308676,-252.6391611042769,-86.81245943261445,1274.4018929020162,120.58484860788944,147.31048081559126,1080.4010832285287,,,,-22.49691002942305,193.83638784399375,872.318581865227,,,,-59.59838857586213,233.24073869444194,824.1787324486169,,,,-90.90845955073775,202.20222305028616,812.4282310812282,,,,-84.24956853196105,192.950149705391,828.4477981132954,,,,0.3608174352321919,417.9760106514547,1263.2143924467932,-196.77880249902756,380.90143100030673,1179.3043528478506,,,,,,,,,,,,,,,,,,,,,,,,
-74.29729674976937,-279.33447400341055,1166.544202932606,-54.377043473964854,-320.0946311653024,1193.239732490005,-36.774760777763355,-319.0847586140392,1195.185919735977,-22.518490469386855,-319.82173358112664,1203.8028400666358,-95.6037600594512,-317.31535850505196,1182.3893929006067,-107.0624155994598,-316.0669157699676,1180.5563751029642,-117.81127292291653,-317.51452577966774,1189.4676167647758,-3.235444787100691,-323.52139560210617,1279.4333362406999,-138.1393275145298,-306.0387575608596,1224.917182506546,-44.65543737491801,-252.01673876611332,1197.001129936127,-98.59421592067312,-245.27359798287443,1178.7378230310185,94.03187453597707,-95.68127219443707,1294.7503385719676,-244.31294590457253,-85.21332401520998,1283.4277940353104,139.9856309064813,159.31571118871696,1154.0716070851458,,,,4.160036590954802,208.12580588676084,939.5124300328813,,,,-31.035193320144767,246.84478054587828,881.2068531348705,-327.56557664230485,54.38225674581751,1260.9568449980693,-58.295449011858885,217.22390019299928,879.6993686664138,-298.0369939416267,11.81723387967651,1210.037460848915,-54.70868401618716,206.35000273572248,896.2048261980125,-293.0449051534777,23.30641593395324,1226.3814592947992,4.506786270227648,421.2352231352231,1313.8729928561522,-208.64587518205843,399.7216926679334,1285.8107136963363,,,,,,,,,,,,,,,,,,,,,,,,
-71.0521877173857,-286.1856733004695,1214.8409310891507,-49.74349425971797,-322.78026300616966,1220.5987562609635,-31.583178637764835,-329.04899750051885,1251.0043863498038,-17.44835856097662,-329.6244729854861,1258.83340011786,-91.48731281334544,-320.31421470451744,1211.7579487832222,-103.13273340779763,-322.85325533353216,1227.0848281907236,-114.89761527819569,-323.6416606244345,1236.3371720361856,2.4600046597263163,-327.6872705545375,1324.0257090437365,-133.80071725891233,-310.2754688169545,1267.9214424433592,-40.2847647013315,-258.9090023887104,1250.579523884386,-93.87908840039245,-250.68996045856537,1224.2464879508777,103.00788435680401,-96.55247802042993,1322.2166041532512,-240.86166680421346,-87.05340773460091,1322.6277357033655,153.86642857236893,161.60390353108357,1207.3172575014344,,,,25.81839401530447,208.34072839390547,973.6752890706032,-337.0472177739517,73.39203463484363,1274.1396263242561,2.543965199796943,254.02854319067544,939.9815405736339,-308.88024474384247,45.26959692383777,1227.9332910196226,-30.21087441685407,218.69692905580916,914.7550280441775,-290.1808334539358,4.639956515388566,1203.1118726236643,-27.50929904143091,209.0168984278149,939.4269172400936,-289.0566899441347,17.109433679128827,1213.52878931743,14.992389563666201,397.4028683383828,1319.3234378981251,-206.06866396623016,396.78586484122457,1353.7700064264902,,,,,,,,,,,,,,,,,,,,,,,,
-65.65219225722358,-285.79483223816203,1223.0611480530754,-45.18219385743692,-321.54785686620596,1230.824671400352,-26.911087038491555,-328.89412077984906,1264.2374931398292,-12.498340251084247,-329.9983264091553,1272.859910508073,-85.8465713223273,-319.61567232795636,1227.7521028363137,-96.90848930114502,-322.491465302664,1246.6086753422205,-109.02460090417708,-323.03645617734014,1257.1504408446483,7.901452587467002,-327.91765508301796,1341.529198873917,-128.21578576713375,-310.48187294530754,1295.1909525530198,-35.30800559779095,-258.64756131260253,1257.6350161671576,-87.11930563511878,-250.35743238021445,1232.6253819327596,107.98751605246676,-97.11352517716044,1333.4634628132671,-234.93992064143217,-83.57185416129501,1295.5497761367346,162.05338567644336,161.8160212278992,1238.4661234386924,,,,43.33780219241409,207.15699438378434,993.8305430296514,-319.22713074406096,64.0691334077718,1275.6152457522774,16.91647998649376,258.0996739081063,973.5176025748508,-292.63422390198883,34.62489870586103,1215.8965979453233,-11.591584683233359,223.01098306752797,947.2177703073982,-276.34345123607005,-9.097041227155875,1202.1967734040102,-8.207885948193537,210.68216591054366,964.9282499649769,-273.63219135325687,3.1773520479560338,1211.438868010179,23.308492597225282,377.15391004821976,1270.5753492967954,-187.1654119642584,361.81065629147815,1244.1639630898824,,,,,,,,,,,,,,,,,,,,,,,,
-61.15033147818656,-293.90691213597626,1269.5968670555587,-41.304281062660635,-323.38543862102364,1264.6871161946813,-22.995614528957656,-328.7633574253771,1289.932491027928,-8.739518428228845,-329.7233452027606,1298.7277357661344,-80.92504186228695,-324.25289127389635,1271.9114099524497,-91.67461125033432,-326.81185980786853,1291.2104034852014,-103.08350817000316,-326.5076889632662,1299.9892021833728,12.349196366716898,-325.08794636768596,1362.2889122540194,-121.95300854811374,-312.1430478681735,1336.8148523174168,-30.491404059525767,-263.5322416529514,1296.6280570394897,-81.22844679973137,-256.82673726484524,1281.2902397484665,115.1479767185931,-96.80837550742106,1355.5837931777628,-230.62030582897407,-85.2036632831722,1334.2947594116715,165.70109507590692,163.41801756859564,1245.1075193339204,,,,68.37991989767225,215.9076201653495,1083.522160178982,-312.829889744486,54.00834785682877,1270.4340094737363,38.62421547471825,261.9143163205726,1045.4788041833033,-288.4024160899687,21.392417745223018,1206.7826852250157,8.413357096099139,223.98104102852415,1018.0547472101409,-270.98201487158724,-19.924526118524142,1221.4500710072823,13.574091778042408,212.96091381085662,1042.2157771039142,-266.8002697178707,-7.046502242211335,1237.7701837410402,30.529877493482882,392.5287463392086,1312.0413321484075,-182.59128015623793,366.0202378000351,1247.2246515563397,,,,,,,,,,,,,,,,,,,,,,,,
-57.39291215027426,-287.06476118968743,1272.1442741711023,-38.1944125070639,-312.9110282810513,1268.49805810662,-20.607865914648304,-318.1419250869714,1294.3653207843129,-5.48763633381006,-317.769706265074,1299.8376593296252,-76.87549831769421,-316.2599933945797,1282.7993704150224,-87.05154017522224,-319.4899557077035,1304.781968072299,-99.37421065926083,-319.41369643865994,1314.1690736324622,16.608329172734297,-316.3468054173495,1370.5440979353023,-118.14146216457982,-309.1213151808294,1362.645857436655,-27.82098848854667,-257.8811693279719,1301.2367227854324,-76.77161798954431,-253.55582467187207,1293.4767439341126,121.1536334361618,-91.79409350800732,1367.398321981966,-226.51426358528443,-81.9253729327275,1342.4083528091337,174.4250102179088,169.59405243941998,1276.229048221716,-375.8630860045776,195.55952370552913,1450.8814813448485,83.36402905213627,229.5202562240398,1162.7368951921087,-313.9631546858061,51.745399847542714,1304.1273925205849,48.7920019801295,269.016132287105,1100.8127666901373,-286.5656370706326,15.962861570132818,1211.5741235782782,20.449559025154432,235.58297841205524,1083.4080158046095,-272.4505166165729,-28.208526845027635,1205.095043570725,27.20352185035229,225.89071411607256,1115.6039080299909,-268.7298738646206,-14.87604202532852,1237.6712174892239,40.28148878089994,402.1409700361558,1329.841022604585,-169.1086010574076,360.41405417592347,1213.4661533417852,,,,,,,,,,,,,,,,,,,,,,,,
